Film,Genre,Lead Studio,Audience Score %,Profitability,Rotten Tomatoes %,Worldwide Gross,Year
Endless Mirage,Action,Focus Features,73.0,4.89,43.0,"$115,567,316.00",2008
Last Symphony,Documentary,Warner Bros.,53.0,4.14,81.0,"$290,886,656.00",2019
Endless Wanderer,Sci-Fi,MGM,59.0,2.7,76.0,"$148,035,902.00",2014
Shattered Mirage,Horror,20th Century Studios,69.0,1.03,47.0,"$61,118,528.00",2022
Electric Garden,Romance,Lionsgate,77.0,1.02,5.0,"$486,011,064.00",2018
Velvet Voyage,Romance,MGM,91.0,2.13,75.0,"$194,658,842.00",2011
Hidden Frontier,Action,Universal Pictures,75.0,0.48,87.0,"$30,543,083.00",2010
Shattered Symphony,Documentary,MGM,69.0,0.73,47.0,"$77,165,401.00",2023
Frozen Symphony,Drama,Universal Pictures,45.0,3.47,59.0,"$63,057,830.00",2015
Golden Mirage,Documentary,Walt Disney Studios,60.0,0.94,67.0,"$64,486,785.00",2014
Frozen Signal,Drama,Focus Features,40.0,1.37,63.0,"$248,287,850.00",2009
Scarlet Frontier,fantasy  ,New Line Cinema,64.0,2.2,67.0,"$148,229,223.00",2019
Electric Wanderer,Thriller,Walt Disney Studios,43.0,2.34,82.0,"$17,763,820.00",2017
Forgotten Reverie,Drama,Lionsgate,56.0,2.29,47.0,"$38,826,303.00",2007
Electric Harbor,Animation,Lionsgate,62.0,5.61,38.0,"$80,882,305.00",2008
Frozen Reverie,Romance,MGM,65.0,1.86,52.0,"$371,024,587.00",2021
Hidden Voyage,Comedy,Walt Disney Studios,71.0,8.85,99.0,"$41,391,376.00",2007
Bright Harbor,Comedy,Walt Disney Studios,78.0,6.66,50.0,"$31,752,020.00",2007
Crimson Garden,Animation,New Line Cinema,31.0,0.76,66.0,"$121,748,982.00",2009
Wild Kingdom,Romance,New Line Cinema,88.0,2.66,54.0,"$341,666,202.00",2018
Quiet Signal,Drama,20th Century Studios,66.0,3.75,70.0,"$378,558,100.00",2022
Wild Signal,Documentary,Lionsgate,54.0,2.03,33.0,"$46,290,503.00",2009
Frozen Harbor,Animation,Walt Disney Studios,62.0,4.12,35.0,"$29,566,367.00",2014
Wild Legacy,Comedy,Paramount Pictures,,0.99,55.0,"$128,711,909.00",2009
Scarlet Garden,Action,Sony Pictures,70.0,3.2,65.0,"$41,843,055.00",2008
Bright Mirage,Comedy,,36.0,2.05,46.0,"$25,204,557.00",2007
Bright Wanderer,Documentary,Lionsgate,48.0,12.62,72.0,"$49,514,075.00",2009
Forgotten Frontier,Romance,Paramount Pictures,96.0,8.46,70.0,"$169,798,299.00",2023
Crimson Frontier,Comedy,Lionsgate,85.0,1.18,88.0,"$49,176,309.00",2020
Bright Shadows,Horror,New Line Cinema,,6.09,53.0,"$54,050,381.00",2017
Endless Signal,romance  ,MGM,69.0,0.5,44.0,"$73,673,186.00",2009
Electric Odyssey,Comedy,Lionsgate,63.0,0.85,14.0,"$53,108,663.00",2017
Frozen Echoes,Animation,20th Century Studios,62.0,10.64,51.0,"$45,053,116.00",2011
Broken Empire,Fantasy,MGM,25.0,3.19,67.0,"$145,190,132.00",2008
Velvet Kingdom,Animation,,62.0,2.66,64.0,"$161,145,274.00",2013
Broken Empire,Fantasy,MGM,25.0,3.19,67.0,"$145,190,132.00",2008
Scarlet Signal,Animation,New Line Cinema,63.0,1.59,66.0,"$141,270,600.00",2014
Wild Mirage,horror  ,20th Century Studios,83.0,3.65,39.0,"$153,659,397.00",2010
Crimson Horizon,Animation,Paramount Pictures,66.0,10.27,67.0,"$11,897,866.00",2021
Wild Reverie,Horror,Universal Pictures,75.0,6.45,60.0,"$224,681,725.00",2008
Distant Harbor,Romance,Focus Features,64.0,1.49,57.0,"$76,711,626.00",2018
Endless Voyage,Animation,20th Century Studios,83.0,0.71,56.0,"$212,332,396.00",2017
