film,genre,lead_studio,audience_score_pct,profitability,rotten_tomatoes_pct,worldwide_gross,year
Endless Mirage,Action,Focus Features,73.0,4.89,43.0,115567316.0,2008
Last Symphony,Documentary,Warner Bros.,53.0,4.14,81.0,290886656.0,2019
Endless Wanderer,Sci-Fi,MGM,59.0,2.7,76.0,148035902.0,2014
Shattered Mirage,Horror,20th Century Studios,69.0,1.03,47.0,61118528.0,2022
Electric Garden,Romance,Lionsgate,77.0,1.02,5.0,486011064.0,2018
Velvet Voyage,Romance,MGM,91.0,2.13,75.0,194658842.0,2011
Hidden Frontier,Action,Universal Pictures,75.0,0.48,87.0,30543083.0,2010
Shattered Symphony,Documentary,MGM,69.0,0.73,47.0,77165401.0,2023
Frozen Symphony,Drama,Universal Pictures,45.0,3.47,59.0,63057830.0,2015
Golden Mirage,Documentary,Walt Disney Studios,60.0,0.94,67.0,64486785.0,2014
Frozen Signal,Drama,Focus Features,40.0,1.37,63.0,248287850.0,2009
Scarlet Frontier,Fantasy,New Line Cinema,64.0,2.2,67.0,148229223.0,2019
Electric Wanderer,Thriller,Walt Disney Studios,43.0,2.34,82.0,17763820.0,2017
Forgotten Reverie,Drama,Lionsgate,56.0,2.29,47.0,38826303.0,2007
Electric Harbor,Animation,Lionsgate,62.0,5.61,38.0,80882305.0,2008
Frozen Reverie,Romance,MGM,65.0,1.86,52.0,371024587.0,2021
Hidden Voyage,Comedy,Walt Disney Studios,71.0,8.85,99.0,41391376.0,2007
Bright Harbor,Comedy,Walt Disney Studios,78.0,6.66,50.0,31752020.0,2007
Crimson Garden,Animation,New Line Cinema,31.0,0.76,66.0,121748982.0,2009
Wild Kingdom,Romance,New Line Cinema,88.0,2.66,54.0,341666202.0,2018
Quiet Signal,Drama,20th Century Studios,66.0,3.75,70.0,378558100.0,2022
Wild Signal,Documentary,Lionsgate,54.0,2.03,33.0,46290503.0,2009
Frozen Harbor,Animation,Walt Disney Studios,62.0,4.12,35.0,29566367.0,2014
Wild Legacy,Comedy,Paramount Pictures,65.0,0.99,55.0,128711909.0,2009
Scarlet Garden,Action,Sony Pictures,70.0,3.2,65.0,41843055.0,2008
Bright Mirage,Comedy,Unknown,36.0,2.05,46.0,25204557.0,2007
Bright Wanderer,Documentary,Lionsgate,48.0,12.62,72.0,49514075.0,2009
Forgotten Frontier,Romance,Paramount Pictures,96.0,8.46,70.0,169798299.0,2023
Crimson Frontier,Comedy,Lionsgate,85.0,1.18,88.0,49176309.0,2020
Bright Shadows,Horror,New Line Cinema,65.0,6.09,53.0,54050381.0,2017
Endless Signal,Romance,MGM,69.0,0.5,44.0,73673186.0,2009
Electric Odyssey,Comedy,Lionsgate,63.0,0.85,14.0,53108663.0,2017
Frozen Echoes,Animation,20th Century Studios,62.0,10.64,51.0,45053116.0,2011
Broken Empire,Fantasy,MGM,25.0,3.19,67.0,145190132.0,2008
Velvet Kingdom,Animation,Unknown,62.0,2.66,64.0,161145274.0,2013
Scarlet Signal,Animation,New Line Cinema,63.0,1.59,66.0,141270600.0,2014
Wild Mirage,Horror,20th Century Studios,83.0,3.65,39.0,153659397.0,2010
Crimson Horizon,Animation,Paramount Pictures,66.0,10.27,67.0,11897866.0,2021
Wild Reverie,Horror,Universal Pictures,75.0,6.45,60.0,224681725.0,2008
Distant Harbor,Romance,Focus Features,64.0,1.49,57.0,76711626.0,2018
Endless Voyage,Animation,20th Century Studios,83.0,0.71,56.0,212332396.0,2017
Scarlet Empire,Animation,20th Century Studios,72.0,0.65,49.0,36230090.0,2018
Broken Signal,Comedy,New Line Cinema,76.0,3.86,63.0,122084833.0,2020
Electric Echoes,Drama,Sony Pictures,48.0,1.19,5.0,55751602.0,2007
Distant Mirage,Fantasy,Universal Pictures,65.0,1.75,56.0,151010196.0,2007
Electric Horizon,Romance,Focus Features,47.0,3.77,70.0,89577356.0,2009
Wild Voyage,Sci-Fi,MGM,81.0,2.95,53.0,141886363.0,2011
Endless Promise,Horror,Universal Pictures,92.0,9.31,38.0,554619852.0,2014
Silent Shadows,Animation,Warner Bros.,92.0,3.42,53.0,58457017.0,2007
Forgotten Voyage,Animation,Walt Disney Studios,60.0,0.67,35.0,134848242.0,2007
Forgotten Signal,Animation,20th Century Studios,99.0,4.14,44.0,249178603.0,2017
Shattered Storm,Thriller,20th Century Studios,56.0,0.4,71.0,4985308.0,2010
Bright Frontier,Thriller,20th Century Studios,59.0,2.46,36.0,9845736.0,2022
Endless Garden,Thriller,Universal Pictures,53.0,15.21,78.0,68002989.0,2012
Forgotten Legacy,Romance,Universal Pictures,81.0,2.82,51.0,85839225.0,2020
Midnight Wanderer,Horror,Walt Disney Studios,77.0,1.33,66.0,125814263.0,2009
Shattered Signal,Animation,Focus Features,58.0,4.08,39.0,217854144.0,2020
Hidden Kingdom,Action,Paramount Pictures,78.0,9.92,71.0,175396350.0,2018
Forgotten Wanderer,Drama,Walt Disney Studios,74.0,3.99,60.0,80446953.0,2020
Hidden Horizon,Documentary,Sony Pictures,51.0,2.66,59.0,145887604.0,2016
Bright Kingdom,Sci-Fi,Warner Bros.,64.0,3.76,43.0,291503847.0,2017
Broken Reverie,Comedy,MGM,75.0,6.51,30.0,354039408.0,2012
Distant Wanderer,Animation,Walt Disney Studios,63.0,0.79,69.0,155488376.0,2014
Golden Garden,Thriller,Walt Disney Studios,71.0,4.91,41.0,55880698.0,2009
Golden Harbor,Action,Lionsgate,49.0,3.91,81.0,105333837.0,2014
Scarlet Shadows,Animation,MGM,77.0,7.18,50.0,6711221.0,2013
Endless Reverie,Drama,Universal Pictures,91.0,8.96,49.0,10701531.0,2019
Midnight Voyage,Romance,MGM,64.0,3.34,36.0,26766518.0,2016
Crimson Kingdom,Animation,Lionsgate,61.0,20.22,56.0,219642278.0,2014
Distant Horizon,Action,Sony Pictures,73.0,8.99,66.0,54611448.0,2023
Bright Garden,Fantasy,Warner Bros.,33.0,3.66,60.0,51281588.0,2020
Golden Voyage,Documentary,New Line Cinema,58.0,21.73,99.0,61211453.0,2015
Broken Kingdom,Sci-Fi,Universal Pictures,79.0,5.08,31.0,20248930.0,2016
Broken Harbor,Action,Focus Features,60.0,2.89,54.0,95030319.0,2023
Forgotten Horizon,Action,Sony Pictures,82.0,1.93,52.0,447324573.0,2011
Quiet Mirage,Horror,20th Century Studios,60.0,3.63,61.0,44024222.0,2017
Forgotten Garden,Documentary,New Line Cinema,71.0,4.11,70.0,47158437.0,2009
Distant Legacy,Animation,New Line Cinema,66.0,1.61,57.0,79348597.0,2018
Frozen Kingdom,Drama,Walt Disney Studios,58.0,4.45,36.0,51698850.0,2019
Broken Mirage,Comedy,Walt Disney Studios,65.0,3.36,56.0,5656363.0,2008
Silent Wanderer,Horror,Walt Disney Studios,70.0,2.35,59.0,42777177.0,2018
Velvet Garden,Horror,Walt Disney Studios,68.0,2.52,65.0,20216117.0,2018
Quiet Horizon,Romance,Paramount Pictures,70.0,1.26,66.0,431848854.0,2007
Frozen Horizon,Action,New Line Cinema,77.0,3.65,53.0,471458313.0,2018
Frozen Odyssey,Sci-Fi,MGM,38.0,10.18,37.0,111218786.0,2010
Broken Storm,Fantasy,Lionsgate,77.0,2.31,99.0,93048098.0,2021
Last Shadows,Drama,Focus Features,65.0,5.99,47.0,34758784.0,2007
